category_id,category_name,sub_cat1,sub_cat2,sub_cat3
131,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,Home_Kitchen,Kitchen_HomeAppliances,MiniFoodProcessors_Choppers
132,Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders,Computers_Accessories,ExternalDevices_DataStorage,ExternalMemoryCardReaders
133,"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",Electronics,HomeTheater_TV_Video,SatelliteReceivers
134,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,Computers_Accessories,Accessories_Peripherals,PCSpeakers
135,Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,Computers_Accessories,Accessories_Peripherals,Caddies
136,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,Computers_Accessories,Accessories_Peripherals,PCHeadsets
137,Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,Electronics,HomeAudio,MultimediaSpeakerSystems
138,"Electronics|Headphones,Earbuds&Accessories|Adapters",Electronics,Headphones_Earbuds_Accessories,Adapters
139,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",OfficeProducts,OfficePaperProducts,LiquidInkRollerballPens
140,Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,Electronics,Cameras_Photography,BackgroundSupports
141,Electronics|Mobiles&Accessories|MobileAccessories|Décor,Electronics,Mobiles_Accessories,Décor
142,HomeImprovement|Electrical|CordManagement,HomeImprovement,Electrical,CordManagement
143,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",Home_Kitchen,Heating_Cooling_AirQuality,PedestalFans
144,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",OfficeProducts,OfficePaperProducts,GelInkRollerballPens
145,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",OfficeProducts,OfficePaperProducts,RetractableBallpointPens
146,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums",Home_Kitchen,Kitchen_HomeAppliances,RoboticVacuums
147,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,Home_Kitchen,CraftMaterials,WoodenPencils
148,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons",Home_Kitchen,Kitchen_HomeAppliances,MeasuringSpoons
149,Electronics|Cameras&Photography|Accessories|Film,Electronics,Cameras_Photography,Film
150,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",Home_Kitchen,Kitchen_HomeAppliances,LintShavers
151,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",OfficeProducts,OfficePaperProducts,FountainPens
152,Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,Electronics,Mobiles_Accessories,BasicCases
153,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,Computers_Accessories,Accessories_Peripherals,GamingKeyboards
154,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,Home_Kitchen,Kitchen_HomeAppliances,StandMixerAccessories
155,Electronics|HomeAudio|Speakers|SoundbarSpeakers,Electronics,HomeAudio,SoundbarSpeakers
156,Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,Computers_Accessories,Accessories_Peripherals,USBtoUSBAdapters
157,OfficeProducts|OfficeElectronics|Calculators|Financial&Business,OfficeProducts,OfficeElectronics,Financial_Business
158,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",Home_Kitchen,Kitchen_HomeAppliances,MilkFrothers
159,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",Home_Kitchen,Heating_Cooling_AirQuality,TableFans
160,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",OfficeProducts,OfficePaperProducts,StickBallpointPens
